Model,Accuracy,Log Loss
Logistic Regression,0.8517080745341615,0.44456740145965834
Decision Tree Classifier,0.7228260869565217,9.990360450244427
RandomForestClassifier,0.8524844720496895,0.5664928292460328
MultinomialNB,0.8105590062111802,0.5451645240181044
XGBClassifier,0.8633540372670807,0.4114643812652582
LGBMClassifier,0.8695652173913043,0.43543990579073666
CatBoostClassifier,0.8470496894409938,0.41422874284645084
